DBN,School Name,Grade,Year,Category,Number Tested,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4
07X005,P.S. 5 PORT MORRIS,8,2015,Current ELL,16,252,11,68.8,5,31.3,0,0,0,0,0,0
07X005,P.S. 5 PORT MORRIS,8,2016,Current ELL,14,266,9,64.3,5,35.7,0,0,0,0,0,0
07X005,P.S. 5 PORT MORRIS,8,2017,Current ELL,19,284,8,42.1,9,47.4,2,10.5,0,0,2,10.5
07X005,P.S. 5 PORT MORRIS,8,2018,Current ELL,14,579,7,50,6,42.9,1,7.1,0,0,1,7.1
07X005,P.S. 5 PORT MORRIS,8,2019,Current ELL,22,588,7,31.8,11,50,4,18.2,0,0,4,18.2
07X005,P.S. 5 PORT MORRIS,8,2015,Ever ELL,23,284,11,47.8,12,52.2,0,0,0,0,0,0
07X005,P.S. 5 PORT MORRIS,8,2016,Ever ELL,14,301,3,21.4,8,57.1,2,14.3,1,7.1,3,21.4
07X005,P.S. 5 PORT MORRIS,8,2017,Ever ELL,17,313,2,11.8,5,29.4,8,47.1,2,11.8,10,58.8
07X005,P.S. 5 PORT MORRIS,8,2018,Ever ELL,16,600,0,0,9,56.3,7,43.8,0,0,7,43.8
07X005,P.S. 5 PORT MORRIS,8,2019,Ever ELL,16,600,1,6.3,4,25,11,68.8,0,0,11,68.8
07X005,P.S. 5 PORT MORRIS,8,2015,Never ELL,40,287,12,30,22,55,6,15,0,0,6,15
07X005,P.S. 5 PORT MORRIS,8,2016,Never ELL,52,298,12,23.1,32,61.5,7,13.5,1,1.9,8,15.4
07X005,P.S. 5 PORT MORRIS,8,2017,Never ELL,47,313,3,6.4,23,48.9,16,34,5,10.6,21,44.7
07X005,P.S. 5 PORT MORRIS,8,2018,Never ELL,29,598,7,24.1,9,31,10,34.5,3,10.3,13,44.8
07X005,P.S. 5 PORT MORRIS,8,2019,Never ELL,38,597,4,10.5,20,52.6,12,31.6,2,5.3,14,36.8
07X029,P.S./M.S. 029 MELROSE SCHOOL,8,2014,Current ELL,9,239,8,88.9,1,11.1,0,0,0,0,0,0
07X029,P.S./M.S. 029 MELROSE SCHOOL,8,2015,Current ELL,8,232,8,100,0,0,0,0,0,0,0,0
07X029,P.S./M.S. 029 MELROSE SCHOOL,8,2016,Current ELL,14,250,13,92.9,1,7.1,0,0,0,0,0,0
07X029,P.S./M.S. 029 MELROSE SCHOOL,8,2017,Current ELL,14,258,11,78.6,2,14.3,1,7.1,0,0,1,7.1
07X029,P.S./M.S. 029 MELROSE SCHOOL,8,2018,Current ELL,8,578,4,50,4,50,0,0,0,0,0,0
07X029,P.S./M.S. 029 MELROSE SCHOOL,8,2019,Current ELL,17,570,14,82.4,3,17.6,0,0,0,0,0,0
07X029,P.S./M.S. 029 MELROSE SCHOOL,8,2014,Ever ELL,16,284,4,25,12,75,0,0,0,0,0,0
07X029,P.S./M.S. 029 MELROSE SCHOOL,8,2015,Ever ELL,15,286,4,26.7,10,66.7,1,6.7,0,0,1,6.7
07X029,P.S./M.S. 029 MELROSE SCHOOL,8,2016,Ever ELL,26,289,11,42.3,11,42.3,3,11.5,1,3.8,4,15.4
07X029,P.S./M.S. 029 MELROSE SCHOOL,8,2017,Ever ELL,19,301,3,15.8,11,57.9,3,15.8,2,10.5,5,26.3
07X029,P.S./M.S. 029 MELROSE SCHOOL,8,2018,Ever ELL,12,600,2,16.7,5,41.7,2,16.7,3,25,5,41.7
07X029,P.S./M.S. 029 MELROSE SCHOOL,8,2019,Ever ELL,9,594,1,11.1,6,66.7,1,11.1,1,11.1,2,22.2
07X029,P.S./M.S. 029 MELROSE SCHOOL,8,2014,Never ELL,50,271,30,60,15,30,5,10,0,0,5,10
07X029,P.S./M.S. 029 MELROSE SCHOOL,8,2015,Never ELL,53,291,16,30.2,30,56.6,7,13.2,0,0,7,13.2
07X029,P.S./M.S. 029 MELROSE SCHOOL,8,2016,Never ELL,53,288,19,35.8,27,50.9,6,11.3,1,1.9,7,13.2
07X029,P.S./M.S. 029 MELROSE SCHOOL,8,2017,Never ELL,53,295,10,18.9,28,52.8,12,22.6,3,5.7,15,28.3
07X029,P.S./M.S. 029 MELROSE SCHOOL,8,2018,Never ELL,63,595,11,17.5,35,55.6,12,19,5,7.9,17,27
07X029,P.S./M.S. 029 MELROSE SCHOOL,8,2019,Never ELL,67,589,20,29.9,36,53.7,9,13.4,2,3,11,16.4
07X031,P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,8,2014,Current ELL,8,260,7,87.5,1,12.5,0,0,0,0,0,0
07X031,P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,8,2015,Current ELL,19,256,17,89.5,2,10.5,0,0,0,0,0,0
07X031,P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,8,2016,Current ELL,15,258,14,93.3,1,6.7,0,0,0,0,0,0
07X031,P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,8,2017,Current ELL,13,250,13,100,0,0,0,0,0,0,0,0
07X031,P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,8,2018,Current ELL,6,582,4,66.7,2,33.3,0,0,0,0,0,0
